cod_curso,curso,duracao,cliente,importe_cliente,professor,importe_professor,data_curso,turno,comercial,importe_comercial,pagamento_cliente,pais,cidade,pagamento_comercial
CÓD-015,PROGRAMAÇÃO,18,CLIENTE-003," 1,350.00 € ",PROFESSOR-001, 216.00 € ,03/09/2019,TARDE,COMERCIAL-003, 202.50 € ,SIM,ITÁLIA,ROMA,SIM
CÓD-016,DESIGN,10,CLIENTE-005, 600.00 € ,PROFESSOR-004, 120.00 € ,18/04/2021,TARDE,COMERCIAL-002, 72.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-017,DESIGN,12,CLIENTE-006, 720.00 € ,PROFESSOR-005, 144.00 € ,05/01/2020,TARDE,COMERCIAL-004, 86.40 € ,SIM,FRANÇA,PARIS,SIM
CÓD-018,DESIGN,15,CLIENTE-004, 900.00 € ,PROFESSOR-002, 180.00 € ,21/08/2020,NOITE,COMERCIAL-001, 108.00 € ,SIM,ESPANHA,MADRI,NÃO
CÓD-019,ACCESS,25,CLIENTE-007," 1,000.00 € ",PROFESSOR-001, 300.00 € ,27/12/2019,NOITE,COMERCIAL-003, 100.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-020,ACCESS,15,CLIENTE-007, 600.00 € ,PROFESSOR-004, 180.00 € ,29/01/2021,NOITE,COMERCIAL-002, 60.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-021,ACCESS,20,CLIENTE-006, 800.00 € ,PROFESSOR-003, 240.00 € ,02/05/2020,NOITE,COMERCIAL-004, 80.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-022,ACCESS,20,CLIENTE-005, 800.00 € ,PROFESSOR-002, 240.00 € ,06/04/2020,NOITE,COMERCIAL-001, 80.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-023,EXCEL,30,CLIENTE-008, 900.00 € ,PROFESSOR-001, 360.00 € ,28/08/2019,TARDE,COMERCIAL-002, 72.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-024,EXCEL,35,CLIENTE-008," 1,050.00 € ",PROFESSOR-001, 420.00 € ,01/11/2019,MANHÃ,COMERCIAL-004, 84.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-025,EXCEL,40,CLIENTE-007," 1,200.00 € ",PROFESSOR-004, 480.00 € ,16/03/2021,TARDE,COMERCIAL-001, 96.00 € ,SIM,ESPANHA,VALÊNCIA,NÃO
CÓD-026,WORD,40,CLIENTE-005," 1,000.00 € ",PROFESSOR-005, 480.00 € ,24/12/2019,MANHÃ,COMERCIAL-003, 70.00 € ,NÃO,FRANÇA,PARIS,NÃO
CÓD-027,WORD,35,CLIENTE-003, 875.00 € ,PROFESSOR-002, 420.00 € ,07/11/2020,MANHÃ,COMERCIAL-002, 61.25 € ,NÃO,ITÁLIA,ROMA,SIM
CÓD-028,WORD,45,CLIENTE-005," 1,125.00 € ",PROFESSOR-001, 540.00 € ,28/05/2019,MANHÃ,COMERCIAL-004, 78.75 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-029,WORD,25,CLIENTE-004, 625.00 € ,PROFESSOR-004, 300.00 € ,16/02/2020,MANHÃ,COMERCIAL-003, 43.75 € ,NÃO,ESPANHA,VALÊNCIA,NÃO
CÓD-030,EXCEL,20,CLIENTE-003, 600.00 € ,PROFESSOR-003, 240.00 € ,28/10/2019,TARDE,COMERCIAL-002, 48.00 € ,SIM,ITÁLIA,ROMA,SIM
CÓD-031,ACCESS,10,CLIENTE-005, 400.00 € ,PROFESSOR-002, 120.00 € ,20/05/2021,TARDE,COMERCIAL-004, 40.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-032,WORD,12,CLIENTE-003, 300.00 € ,PROFESSOR-001, 144.00 € ,09/09/2021,TARDE,COMERCIAL-001, 21.00 € ,SIM,ITÁLIA,ROMA,NÃO
CÓD-033,WORD,15,CLIENTE-004, 375.00 € ,PROFESSOR-004, 180.00 € ,03/08/2021,TARDE,COMERCIAL-002, 26.25 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-034,WORD,20,CLIENTE-003, 500.00 € ,PROFESSOR-005, 240.00 € ,22/07/2020,NOITE,COMERCIAL-004, 35.00 € ,NÃO,ITÁLIA,ROMA,SIM
CÓD-035,EXCEL,25,CLIENTE-006, 750.00 € ,PROFESSOR-002, 300.00 € ,14/11/2020,NOITE,COMERCIAL-001, 60.00 € ,NÃO,FRANÇA,MARSELHA,NÃO
CÓD-036,EXCEL,30,CLIENTE-004, 900.00 € ,PROFESSOR-001, 360.00 € ,08/11/2019,NOITE,COMERCIAL-003, 72.00 € ,NÃO,ESPANHA,VALÊNCIA,NÃO
CÓD-037,EXCEL,40,CLIENTE-007," 1,200.00 € ",PROFESSOR-004, 480.00 € ,02/02/2019,TARDE,COMERCIAL-002, 96.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-038,INTERNET,35,CLIENTE-005, 875.00 € ,PROFESSOR-005, 420.00 € ,27/03/2021,TARDE,COMERCIAL-004, 43.75 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-039,WINDOWS,45,CLIENTE-006," 1,125.00 € ",PROFESSOR-002, 540.00 € ,03/08/2020,TARDE,COMERCIAL-003, 56.25 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-040,WINDOWS,18,CLIENTE-008, 450.00 € ,PROFESSOR-001, 216.00 € ,02/06/2021,TARDE,COMERCIAL-002, 22.50 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-041,WINDOWS,10,CLIENTE-003, 250.00 € ,PROFESSOR-003, 120.00 € ,26/07/2021,NOITE,COMERCIAL-004, 12.50 € ,SIM,ITÁLIA,ROMA,SIM
CÓD-042,INTERNET,12,CLIENTE-005, 300.00 € ,PROFESSOR-002, 144.00 € ,22/06/2021,NOITE,COMERCIAL-001, 15.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-043,PROGRAMAÇÃO,15,CLIENTE-006," 1,125.00 € ",PROFESSOR-001, 180.00 € ,04/11/2021,NOITE,COMERCIAL-003, 168.75 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-044,DESIGN,25,CLIENTE-004," 1,500.00 € ",PROFESSOR-004, 300.00 € ,12/11/2020,NOITE,COMERCIAL-002, 180.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-045,DESIGN,15,CLIENTE-007, 900.00 € ,PROFESSOR-005, 180.00 € ,30/06/2019,NOITE,COMERCIAL-004, 108.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-046,DESIGN,10,CLIENTE-007, 600.00 € ,PROFESSOR-002, 120.00 € ,12/06/2019,TARDE,COMERCIAL-001, 72.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-047,ACCESS,12,CLIENTE-006, 480.00 € ,PROFESSOR-001, 144.00 € ,25/11/2020,NOITE,COMERCIAL-002, 48.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-048,ACCESS,15,CLIENTE-005, 600.00 € ,PROFESSOR-004, 180.00 € ,08/01/2019,NOITE,COMERCIAL-004, 60.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-049,ACCESS,25,CLIENTE-008," 1,000.00 € ",PROFESSOR-003, 300.00 € ,01/07/2019,NOITE,COMERCIAL-001, 100.00 € ,SIM,ESPANHA,VALLADOLID,NÃO
CÓD-050,ACCESS,15,CLIENTE-001, 600.00 € ,PROFESSOR-002, 180.00 € ,11/01/2021,TARDE,COMERCIAL-003, 60.00 € ,SIM,ESPANHA,VALLADOLID,NÃO
CÓD-051,EXCEL,20,CLIENTE-002, 600.00 € ,PROFESSOR-001, 240.00 € ,01/09/2021,TARDE,COMERCIAL-003, 48.00 € ,SIM,ITÁLIA,MILÃO,NÃO
CÓD-052,EXCEL,20,CLIENTE-004, 600.00 € ,PROFESSOR-004, 240.00 € ,02/10/2019,TARDE,COMERCIAL-002, 48.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-053,EXCEL,30,CLIENTE-003, 900.00 € ,PROFESSOR-005, 360.00 € ,10/02/2019,TARDE,COMERCIAL-004, 72.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-054,WORD,35,CLIENTE-005, 875.00 € ,PROFESSOR-002, 420.00 € ,19/09/2019,NOITE,COMERCIAL-001, 61.25 € ,NÃO,FRANÇA,PARIS,NÃO
CÓD-055,WORD,40,CLIENTE-003," 1,000.00 € ",PROFESSOR-001, 480.00 € ,02/01/2019,NOITE,COMERCIAL-002, 70.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-056,WORD,40,CLIENTE-004," 1,000.00 € ",PROFESSOR-004, 480.00 € ,22/12/2019,NOITE,COMERCIAL-004, 70.00 € ,NÃO,ESPANHA,VALLADOLID,SIM
CÓD-057,INTERNET,35,CLIENTE-003, 875.00 € ,PROFESSOR-005, 420.00 € ,18/12/2019,NOITE,COMERCIAL-001, 43.75 € ,NÃO,ITÁLIA,ROMA,NÃO
CÓD-058,PROGRAMAÇÃO,45,CLIENTE-006," 3,375.00 € ",PROFESSOR-002, 540.00 € ,04/03/2021,NOITE,COMERCIAL-003, 506.25 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-059,DESIGN,25,CLIENTE-004," 1,500.00 € ",PROFESSOR-001, 300.00 € ,30/12/2019,TARDE,COMERCIAL-002, 180.00 € ,NÃO,ESPANHA,VALLADOLID,SIM
CÓD-060,DESIGN,20,CLIENTE-007," 1,200.00 € ",PROFESSOR-004, 240.00 € ,09/11/2020,MANHÃ,COMERCIAL-004, 144.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-061,DESIGN,10,CLIENTE-005, 600.00 € ,PROFESSOR-003, 120.00 € ,01/10/2019,TARDE,COMERCIAL-003, 72.00 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-062,ACCESS,12,CLIENTE-006, 480.00 € ,PROFESSOR-002, 144.00 € ,18/03/2021,MANHÃ,COMERCIAL-002, 48.00 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-063,ACCESS,15,CLIENTE-008, 600.00 € ,PROFESSOR-001, 180.00 € ,23/03/2019,MANHÃ,COMERCIAL-004, 60.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-064,ACCESS,20,CLIENTE-003, 800.00 € ,PROFESSOR-001, 240.00 € ,03/04/2021,MANHÃ,COMERCIAL-001, 80.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-065,ACCESS,25,CLIENTE-005," 1,000.00 € ",PROFESSOR-004, 300.00 € ,10/04/2019,MANHÃ,COMERCIAL-003, 100.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-066,EXCEL,30,CLIENTE-006, 900.00 € ,PROFESSOR-005, 360.00 € ,11/03/2020,TARDE,COMERCIAL-002, 72.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-067,EXCEL,40,CLIENTE-004," 1,200.00 € ",PROFESSOR-002, 480.00 € ,11/10/2019,TARDE,COMERCIAL-004, 96.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-068,EXCEL,35,CLIENTE-007," 1,050.00 € ",PROFESSOR-001, 420.00 € ,22/12/2020,TARDE,COMERCIAL-001, 84.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-069,WORD,45,CLIENTE-007," 1,125.00 € ",PROFESSOR-004, 540.00 € ,15/09/2019,TARDE,COMERCIAL-002, 78.75 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-070,WORD,18,CLIENTE-006, 450.00 € ,PROFESSOR-003, 216.00 € ,02/10/2021,NOITE,COMERCIAL-004, 31.50 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-071,WORD,10,CLIENTE-005, 250.00 € ,PROFESSOR-002, 120.00 € ,28/05/2021,NOITE,COMERCIAL-001, 17.50 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-072,WORD,45,CLIENTE-008," 1,125.00 € ",PROFESSOR-001, 540.00 € ,18/08/2021,NOITE,COMERCIAL-003, 78.75 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-073,EXCEL,25,CLIENTE-008, 750.00 € ,PROFESSOR-004, 300.00 € ,30/05/2019,TARDE,COMERCIAL-002, 60.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-074,ACCESS,20,CLIENTE-007, 800.00 € ,PROFESSOR-005, 240.00 € ,21/05/2019,TARDE,COMERCIAL-004, 80.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-075,WORD,10,CLIENTE-005, 250.00 € ,PROFESSOR-002, 120.00 € ,28/01/2019,TARDE,COMERCIAL-003, 17.50 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-076,WORD,12,CLIENTE-003, 300.00 € ,PROFESSOR-001, 144.00 € ,10/10/2020,TARDE,COMERCIAL-002, 21.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-077,WORD,15,CLIENTE-005, 375.00 € ,PROFESSOR-004, 180.00 € ,12/10/2021,NOITE,COMERCIAL-004, 26.25 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-078,EXCEL,20,CLIENTE-004, 600.00 € ,PROFESSOR-005, 240.00 € ,31/08/2020,MANHÃ,COMERCIAL-001, 48.00 € ,NÃO,ESPANHA,VALLADOLID,SIM
CÓD-079,EXCEL,25,CLIENTE-003, 750.00 € ,PROFESSOR-002, 300.00 € ,31/01/2021,MANHÃ,COMERCIAL-002, 60.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-080,EXCEL,30,CLIENTE-005, 900.00 € ,PROFESSOR-001, 360.00 € ,10/02/2020,MANHÃ,COMERCIAL-004, 72.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-081,INTERNET,40,CLIENTE-003," 1,000.00 € ",PROFESSOR-004, 480.00 € ,27/02/2019,MANHÃ,COMERCIAL-001, 50.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-082,WINDOWS,35,CLIENTE-004, 875.00 € ,PROFESSOR-005, 420.00 € ,25/03/2021,TARDE,COMERCIAL-003, 43.75 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-083,WINDOWS,45,CLIENTE-003," 1,125.00 € ",PROFESSOR-002, 540.00 € ,29/05/2019,TARDE,COMERCIAL-002, 56.25 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-084,WINDOWS,18,CLIENTE-006, 450.00 € ,PROFESSOR-001, 216.00 € ,01/01/2021,TARDE,COMERCIAL-004, 22.50 € ,SIM,FRANÇA,PARIS,SIM
CÓD-085,INTERNET,10,CLIENTE-001, 250.00 € ,PROFESSOR-004, 120.00 € ,22/05/2021,TARDE,COMERCIAL-001, 12.50 € ,SIM,ESPANHA,VALLADOLID,NÃO
CÓD-086,PROGRAMAÇÃO,12,CLIENTE-002, 900.00 € ,PROFESSOR-003, 144.00 € ,10/08/2019,NOITE,COMERCIAL-003, 135.00 € ,SIM,ITÁLIA,MILÃO,NÃO
CÓD-087,DESIGN,15,CLIENTE-004, 900.00 € ,PROFESSOR-002, 180.00 € ,07/05/2021,NOITE,COMERCIAL-002, 108.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-088,DESIGN,25,CLIENTE-003," 1,500.00 € ",PROFESSOR-001, 300.00 € ,07/04/2019,NOITE,COMERCIAL-004, 180.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-089,WORD,15,CLIENTE-005, 375.00 € ,PROFESSOR-004, 180.00 € ,04/12/2019,TARDE,COMERCIAL-001, 26.25 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-090,EXCEL,10,CLIENTE-003, 300.00 € ,PROFESSOR-005, 120.00 € ,21/10/2019,TARDE,COMERCIAL-002, 24.00 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-091,EXCEL,12,CLIENTE-004, 360.00 € ,PROFESSOR-002, 144.00 € ,14/04/2019,TARDE,COMERCIAL-004, 28.80 € ,SIM,ESPANHA,MADRI,SIM
CÓD-092,EXCEL,15,CLIENTE-003, 450.00 € ,PROFESSOR-001, 180.00 € ,20/08/2020,TARDE,COMERCIAL-001, 36.00 € ,SIM,ITÁLIA,MILÃO,NÃO
CÓD-093,INTERNET,25,CLIENTE-006, 625.00 € ,PROFESSOR-004, 300.00 € ,12/08/2021,NOITE,COMERCIAL-003, 31.25 € ,SIM,FRANÇA,PARIS,NÃO
CÓD-094,WINDOWS,15,CLIENTE-004, 375.00 € ,PROFESSOR-005, 180.00 € ,05/02/2021,NOITE,COMERCIAL-002, 18.75 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-095,WINDOWS,20,CLIENTE-007, 500.00 € ,PROFESSOR-002, 240.00 € ,27/01/2020,NOITE,COMERCIAL-004, 25.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-096,WINDOWS,20,CLIENTE-005, 500.00 € ,PROFESSOR-001, 240.00 € ,18/07/2020,NOITE,COMERCIAL-003, 25.00 € ,NÃO,FRANÇA,PARIS,NÃO
CÓD-097,INTERNET,30,CLIENTE-006, 750.00 € ,PROFESSOR-004, 360.00 € ,30/07/2020,NOITE,COMERCIAL-002, 37.50 € ,NÃO,FRANÇA,PARIS,SIM
CÓD-098,PROGRAMAÇÃO,35,CLIENTE-008," 2,625.00 € ",PROFESSOR-003, 420.00 € ,14/06/2020,TARDE,COMERCIAL-004, 393.75 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-099,DESIGN,40,CLIENTE-003," 2,400.00 € ",PROFESSOR-002, 480.00 € ,24/07/2021,MANHÃ,COMERCIAL-001, 288.00 € ,NÃO,ITÁLIA,MILÃO,NÃO
CÓD-100,DESIGN,40,CLIENTE-005," 2,400.00 € ",PROFESSOR-001, 480.00 € ,02/08/2020,TARDE,COMERCIAL-003, 288.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-101,DESIGN,35,CLIENTE-006," 2,100.00 € ",PROFESSOR-001, 420.00 € ,09/01/2021,MANHÃ,COMERCIAL-002, 252.00 € ,SIM,FRANÇA,PARIS,SIM
CÓD-102,ACCESS,15,CLIENTE-004, 600.00 € ,PROFESSOR-004, 180.00 € ,15/11/2019,MANHÃ,COMERCIAL-004, 60.00 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-103,ACCESS,20,CLIENTE-007, 800.00 € ,PROFESSOR-005, 240.00 € ,15/12/2021,MANHÃ,COMERCIAL-001, 80.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-104,ACCESS,18,CLIENTE-007, 720.00 € ,PROFESSOR-002, 216.00 € ,10/04/2020,MANHÃ,COMERCIAL-002, 72.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-105,ACCESS,25,CLIENTE-006," 1,000.00 € ",PROFESSOR-001, 300.00 € ,31/10/2019,TARDE,COMERCIAL-004, 100.00 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-106,EXCEL,20,CLIENTE-005, 600.00 € ,PROFESSOR-004, 240.00 € ,22/07/2021,TARDE,COMERCIAL-001, 48.00 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-107,INTERNET,10,CLIENTE-008, 300.00 € ,PROFESSOR-003, 120.00 € ,01/01/2021,TARDE,COMERCIAL-003, 24.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-108,WINDOWS,12,CLIENTE-008, 360.00 € ,PROFESSOR-002, 144.00 € ,12/04/2021,TARDE,COMERCIAL-002, 28.80 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-109,WINDOWS,15,CLIENTE-007, 375.00 € ,PROFESSOR-001, 180.00 € ,17/05/2020,NOITE,COMERCIAL-004, 26.25 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-110,WINDOWS,20,CLIENTE-005, 500.00 € ,PROFESSOR-004, 240.00 € ,06/11/2021,NOITE,COMERCIAL-003, 35.00 € ,NÃO,FRANÇA,MARSELHA,NÃO
CÓD-111,INTERNET,25,CLIENTE-003, 625.00 € ,PROFESSOR-005, 300.00 € ,18/04/2019,NOITE,COMERCIAL-002, 43.75 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-112,PROGRAMAÇÃO,30,CLIENTE-005, 750.00 € ,PROFESSOR-002, 360.00 € ,04/11/2020,TARDE,COMERCIAL-004, 52.50 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-113,DESIGN,40,CLIENTE-004," 1,200.00 € ",PROFESSOR-001, 480.00 € ,15/09/2021,TARDE,COMERCIAL-001, 96.00 € ,NÃO,ESPANHA,VALÊNCIA,NÃO
CÓD-114,DESIGN,35,CLIENTE-003," 1,400.00 € ",PROFESSOR-004, 420.00 € ,22/05/2020,TARDE,COMERCIAL-002, 140.00 € ,NÃO,ITÁLIA,MILÃO,SIM
CÓD-115,DESIGN,45,CLIENTE-005," 1,125.00 € ",PROFESSOR-005, 540.00 € ,03/10/2019,TARDE,COMERCIAL-004, 78.75 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-116,ACCESS,18,CLIENTE-003, 450.00 € ,PROFESSOR-002, 216.00 € ,26/01/2020,NOITE,COMERCIAL-001, 31.50 € ,NÃO,ITÁLIA,MILÃO,NÃO
CÓD-117,ACCESS,10,CLIENTE-004, 250.00 € ,PROFESSOR-001, 120.00 € ,19/06/2021,NOITE,COMERCIAL-003, 17.50 € ,NÃO,ESPANHA,MADRI,NÃO
CÓD-118,ACCESS,12,CLIENTE-003, 360.00 € ,PROFESSOR-003, 144.00 € ,16/11/2019,NOITE,COMERCIAL-002, 28.80 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-119,ACCESS,15,CLIENTE-006, 450.00 € ,PROFESSOR-002, 180.00 € ,10/11/2019,NOITE,COMERCIAL-004, 36.00 € ,NÃO,FRANÇA,MARSELHA,SIM
CÓD-120,EXCEL,25,CLIENTE-004, 750.00 € ,PROFESSOR-001, 300.00 € ,27/11/2019,NOITE,COMERCIAL-003, 60.00 € ,SIM,ESPANHA,VALÊNCIA,NÃO
CÓD-121,EXCEL,15,CLIENTE-007, 375.00 € ,PROFESSOR-004, 180.00 € ,01/12/2021,TARDE,COMERCIAL-002, 18.75 € ,SIM,ESPANHA,VALÊNCIA,SIM
CÓD-122,EXCEL,20,CLIENTE-005, 500.00 € ,PROFESSOR-005, 240.00 € ,13/05/2019,NOITE,COMERCIAL-004, 25.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-123,WORD,20,CLIENTE-006, 500.00 € ,PROFESSOR-002, 240.00 € ,13/10/2020,NOITE,COMERCIAL-001, 25.00 € ,SIM,FRANÇA,MARSELHA,NÃO
CÓD-124,WORD,30,CLIENTE-008, 750.00 € ,PROFESSOR-001, 360.00 € ,30/01/2019,NOITE,COMERCIAL-003, 37.50 € ,SIM,ESPANHA,MADRI,NÃO
CÓD-125,ACCESS,35,CLIENTE-003, 875.00 € ,PROFESSOR-004, 420.00 € ,12/01/2019,TARDE,COMERCIAL-002, 43.75 € ,SIM,ITÁLIA,MILÃO,SIM
CÓD-126,ACCESS,40,CLIENTE-005," 3,000.00 € ",PROFESSOR-003, 480.00 € ,16/09/2021,TARDE,COMERCIAL-004, 450.00 € ,SIM,FRANÇA,MARSELHA,SIM
CÓD-127,EXCEL,40,CLIENTE-006," 2,400.00 € ",PROFESSOR-002, 480.00 € ,28/06/2021,TARDE,COMERCIAL-001, 288.00 € ,SIM,FRANÇA,MARSELHA,NÃO
CÓD-128,EXCEL,35,CLIENTE-004," 2,100.00 € ",PROFESSOR-001, 420.00 € ,08/05/2021,TARDE,COMERCIAL-002, 252.00 € ,SIM,ESPANHA,VALLADOLID,SIM
CÓD-129,EXCEL,45,CLIENTE-007," 2,700.00 € ",PROFESSOR-004, 540.00 € ,11/03/2020,NOITE,COMERCIAL-004, 324.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-130,WORD,25,CLIENTE-007," 1,000.00 € ",PROFESSOR-005, 300.00 € ,15/01/2019,NOITE,COMERCIAL-001, 100.00 € ,SIM,ESPANHA,MADRI,NÃO
CÓD-131,WORD,20,CLIENTE-006, 500.00 € ,PROFESSOR-002, 240.00 € ,02/09/2019,NOITE,COMERCIAL-003, 35.00 € ,SIM,FRANÇA,MARSELHA,NÃO
CÓD-132,WORD,10,CLIENTE-005, 250.00 € ,PROFESSOR-001, 120.00 € ,01/06/2020,NOITE,COMERCIAL-003, 17.50 € ,SIM,FRANÇA,MARSELHA,NÃO
CÓD-133,INTERNET,12,CLIENTE-008, 300.00 € ,PROFESSOR-003, 144.00 € ,25/11/2019,NOITE,COMERCIAL-002, 21.00 € ,SIM,ESPANHA,MADRI,SIM
CÓD-134,PROGRAMAÇÃO,15,CLIENTE-003, 450.00 € ,PROFESSOR-002, 180.00 € ,02/05/2019,TARDE,COMERCIAL-004, 36.00 € ,NÃO,ITÁLIA,MILÃO,SIM
